"1",NULL,NULL,"Delivery"
"2",NULL,NULL,"Takeout"
"3",NULL,NULL,"Outdoor Seating"
"4",NULL,NULL,"Waitstaff"
"5",NULL,NULL,"Parking Available"
"6",NULL,NULL,"Street Parking"
"7",NULL,NULL,"Wheelchair Accessible"
"8",NULL,NULL,"Serves Alcohol"
"9",NULL,NULL,"Free Wifi"
"10",NULL,NULL,"Wine and Beer"
"11",NULL,NULL,"Full Bar"
